airport_id,airport_name,city,country,iata_code
1,North Judithbury International Airport,North Judithbury,Czech Republic,QAH
2,Lake Curtis International Airport,Lake Curtis,Saint Vincent and the Grenadines,FTR
3,New Roberttown International Airport,New Roberttown,Bermuda,XCK
4,East William International Airport,East William,Anguilla,AFN
5,Lake Debra International Airport,Lake Debra,Mayotte,AFQ
6,Robinsonshire International Airport,Robinsonshire,Fiji,OFP
7,Port Lindachester International Airport,Port Lindachester,Guam,VAU
8,Ericmouth International Airport,Ericmouth,Bosnia and Herzegovina,SIE
9,South Colinstad International Airport,South Colinstad,Netherlands,YIC
10,Lindsaymouth International Airport,Lindsaymouth,Mauritania,CWP
11,South Christianport International Airport,South Christianport,Switzerland,USN
12,Barbaraland International Airport,Barbaraland,Aruba,ZJO
13,Port Keith International Airport,Port Keith,Belgium,VQW
14,Port Craig International Airport,Port Craig,Fiji,PSB
15,Reidstad International Airport,Reidstad,Central African Republic,FHC
16,Michaelview International Airport,Michaelview,Reunion,GCH
17,New Cynthiaside International Airport,New Cynthiaside,Saint Lucia,QJJ
18,East Steven International Airport,East Steven,Faroe Islands,FGY
19,Lake Mark International Airport,Lake Mark,Seychelles,QPE
20,East Lydiamouth International Airport,East Lydiamouth,Iran,SEJ
21,Carlshire International Airport,Carlshire,Turkey,ZQO
22,Jasonfort International Airport,Jasonfort,Indonesia,RVU
23,Thomasberg International Airport,Thomasberg,Egypt,FAI
24,Juliechester International Airport,Juliechester,Ukraine,GFY
25,Coxberg International Airport,Coxberg,Malawi,WIR
26,Daviston International Airport,Daviston,Tokelau,KXL
27,East Courtneychester International Airport,East Courtneychester,Nepal,GGO
28,South Patrickmouth International Airport,South Patrickmouth,Marshall Islands,GPX
29,Tashatown International Airport,Tashatown,Pitcairn Islands,KFZ
30,Lake Nicoleview International Airport,Lake Nicoleview,Seychelles,NCB
31,Danielchester International Airport,Danielchester,Cayman Islands,CQU
32,Smithview International Airport,Smithview,Macao,KBJ
33,New Rita International Airport,New Rita,Trinidad and Tobago,ZNZ
34,Meaganhaven International Airport,Meaganhaven,New Caledonia,WAS
35,East Nathaniel International Airport,East Nathaniel,Central African Republic,RNG
36,New Mariotown International Airport,New Mariotown,Bouvet Island (Bouvetoya),QCL
37,Natashaport International Airport,Natashaport,Dominican Republic,LYW
38,East Natalieland International Airport,East Natalieland,Belize,GNE
39,Cabreraside International Airport,Cabreraside,Seychelles,XWH
40,East Donna International Airport,East Donna,Yemen,QPD
41,West Allison International Airport,West Allison,New Caledonia,TOU
42,Brandtside International Airport,Brandtside,Saudi Arabia,NAI
43,Lake Larry International Airport,Lake Larry,Paraguay,AYW
44,Samuelhaven International Airport,Samuelhaven,Korea,VHB
45,East Jeffreymouth International Airport,East Jeffreymouth,Angola,WYC
46,New Jeffrey International Airport,New Jeffrey,Barbados,MBT
47,East Carloston International Airport,East Carloston,Tokelau,TDM
48,Chadbury International Airport,Chadbury,Fiji,OGW
49,Lewisberg International Airport,Lewisberg,Saint Kitts and Nevis,LFO
50,Sanchezfort International Airport,Sanchezfort,Sri Lanka,SFI
51,Leeville International Airport,Leeville,Palestinian Territory,ZQL
52,Gomezchester International Airport,Gomezchester,Lao People's Democratic Republic,NDF
53,Lake Deniseville International Airport,Lake Deniseville,Bahamas,IPF
54,Chandlerville International Airport,Chandlerville,Egypt,FBQ
55,East Amanda International Airport,East Amanda,Burundi,FXW
56,Whitemouth International Airport,Whitemouth,Egypt,BGR
57,South Lindseyside International Airport,South Lindseyside,Bolivia,FDY
58,Lake Yvettetown International Airport,Lake Yvettetown,Bermuda,OMU
59,East Richard International Airport,East Richard,Liberia,UEC
60,Port Richard International Airport,Port Richard,Bahamas,LLM
61,South Aaron International Airport,South Aaron,Iceland,SRZ
62,Saramouth International Airport,Saramouth,France,CKI
63,Hortonside International Airport,Hortonside,Panama,WGE
64,Mooreport International Airport,Mooreport,Cuba,LKH
65,New Jillton International Airport,New Jillton,San Marino,GYL
66,Brianshire International Airport,Brianshire,Lesotho,WOB
67,North Susan International Airport,North Susan,Belgium,ZVZ
68,North Brooke International Airport,North Brooke,Peru,YWE
69,South David International Airport,South David,Tuvalu,MFK
70,New Brooke International Airport,New Brooke,Niger,BJZ
71,South Dianeshire International Airport,South Dianeshire,Mali,GUL
72,Sarahborough International Airport,Sarahborough,Paraguay,KYZ
73,Johnfurt International Airport,Johnfurt,Bulgaria,OSE
74,Stephenland International Airport,Stephenland,Algeria,HZP
75,Howellshire International Airport,Howellshire,Bolivia,OTB
76,New Jasonview International Airport,New Jasonview,Bulgaria,PNW
77,Nicolebury International Airport,Nicolebury,Heard Island and McDonald Islands,EYC
78,Ericside International Airport,Ericside,Romania,EPR
79,Cherylhaven International Airport,Cherylhaven,Algeria,GDX
80,Sarahville International Airport,Sarahville,Wallis and Futuna,GPQ
81,West Darrell International Airport,West Darrell,Botswana,KPN
82,West Juan International Airport,West Juan,Cote d'Ivoire,YFS
83,Jamesview International Airport,Jamesview,Madagascar,GKR
84,Kington International Airport,Kington,Bermuda,HIT
85,Calderonton International Airport,Calderonton,Afghanistan,BLZ
86,Kellieview International Airport,Kellieview,Central African Republic,ZBF
87,Arnoldchester International Airport,Arnoldchester,Monaco,GYW
88,North Charlesberg International Airport,North Charlesberg,Mayotte,WJE
89,Port Mikeside International Airport,Port Mikeside,Cameroon,VSP
90,Andersonport International Airport,Andersonport,Haiti,ZRA
91,West Jasonbury International Airport,West Jasonbury,Papua New Guinea,VHR
92,West Kimberlychester International Airport,West Kimberlychester,Niger,YDD
93,East Michelle International Airport,East Michelle,South Georgia and the South Sandwich Islands,COH
94,South Angel International Airport,South Angel,Saint Pierre and Miquelon,PSF
95,Kimberlychester International Airport,Kimberlychester,Spain,QGM
96,West Erik International Airport,West Erik,Reunion,XVC
97,South Monicafort International Airport,South Monicafort,Cyprus,LHA
98,Port Samantha International Airport,Port Samantha,Guernsey,UQG
99,Loribury International Airport,Loribury,Czech Republic,TOL
100,Lake Jamesmouth International Airport,Lake Jamesmouth,Fiji,ABW
101,Port Joshuahaven International Airport,Port Joshuahaven,Iran,XOV
102,Sheilaville International Airport,Sheilaville,Turkey,PDD
103,Gregoryview International Airport,Gregoryview,Argentina,IXU
104,New Ryanmouth International Airport,New Ryanmouth,Jordan,WXF
105,South Rachelborough International Airport,South Rachelborough,Equatorial Guinea,GCU
106,Lake Ryanhaven International Airport,Lake Ryanhaven,Uzbekistan,WKQ
107,West Ryan International Airport,West Ryan,Yemen,EYW
108,Cindyville International Airport,Cindyville,Saint Helena,ZVW
109,Williamchester International Airport,Williamchester,Greece,ATI
110,Terryside International Airport,Terryside,Brunei Darussalam,YUW
111,South Elizabeth International Airport,South Elizabeth,Hong Kong,VGU
112,New Ashley International Airport,New Ashley,Iraq,CWW
113,West Justinchester International Airport,West Justinchester,Solomon Islands,FVL
114,Stevenmouth International Airport,Stevenmouth,Peru,HUF
115,New Thomas International Airport,New Thomas,United Arab Emirates,AFI
116,Lake Christopher International Airport,Lake Christopher,Malaysia,WZH
117,Clarencebury International Airport,Clarencebury,Peru,QKZ
118,Jeffreyborough International Airport,Jeffreyborough,Cameroon,NYC
119,North Johnfort International Airport,North Johnfort,New Zealand,ZEZ
120,South Robertshire International Airport,South Robertshire,Congo,GCL
121,Snyderbury International Airport,Snyderbury,Cameroon,SIP
122,Port Michelleville International Airport,Port Michelleville,Slovakia (Slovak Republic),NKO
123,Robinsonhaven International Airport,Robinsonhaven,Kyrgyz Republic,GSA
