booking_id,customer_id,flight_id,seat_id,booking_date,booking_status
1,792,774,772,2024-12-15 19:00:00,Confirmed
2,403,753,261,2025-09-12 22:15:00,Cancelled
3,940,793,496,2025-12-13 11:00:00,Pending
4,620,361,89,2025-11-01 01:15:00,Pending
5,482,470,674,2025-06-08 05:30:00,Confirmed
6,893,458,717,2025-11-30 15:45:00,Cancelled
7,946,551,887,2026-01-23 20:45:00,Confirmed
8,805,549,581,2025-05-24 00:45:00,Confirmed
9,94,429,101,2024-11-25 21:45:00,Pending
10,546,767,77,2025-01-31 09:45:00,Cancelled
11,258,532,266,2024-11-30 20:30:00,Pending
12,896,225,535,2025-10-09 09:45:00,Confirmed
13,321,76,188,2026-01-02 15:30:00,Confirmed
14,357,125,49,2025-08-05 21:00:00,Pending
15,531,676,57,2026-02-14 10:30:00,Confirmed
16,613,512,777,2025-08-06 03:00:00,Cancelled
17,787,121,828,2025-06-17 01:15:00,Pending
18,705,514,610,2024-12-01 00:00:00,Cancelled
19,371,56,531,2025-01-14 09:45:00,Confirmed
20,818,508,814,2025-11-05 00:30:00,Confirmed
21,121,646,727,2025-12-27 14:45:00,Confirmed
22,613,27,317,2025-08-31 08:00:00,Confirmed
23,664,958,38,2025-01-05 09:15:00,Confirmed
24,496,590,946,2025-05-06 06:45:00,Confirmed
25,350,800,567,2026-03-15 17:15:00,Cancelled
26,259,112,721,2025-08-04 13:00:00,Pending
27,403,222,932,2025-11-11 21:15:00,Confirmed
28,957,765,863,2025-04-04 17:00:00,Confirmed
29,564,173,302,2025-04-02 07:45:00,Confirmed
30,431,145,844,2025-11-19 06:00:00,Confirmed
31,438,952,967,2025-11-17 06:30:00,Confirmed
32,488,573,899,2025-08-17 02:00:00,Confirmed
33,144,499,819,2025-05-21 22:00:00,Confirmed
34,821,991,687,2026-02-12 18:00:00,Pending
35,285,80,977,2025-10-12 15:00:00,Confirmed
36,131,768,424,2025-05-23 23:15:00,Cancelled
37,210,626,431,2026-01-15 01:30:00,Confirmed
38,11,228,686,2025-12-30 07:15:00,Pending
