flight_id,flight_number,source_airport_id,destination_airport_id,departure_time,arrival_time,flight_status
1,LH506,855,610,2025-05-13 10:00:00,2025-05-13 12:45:00,Delayed
2,6E524,878,283,2025-09-24 14:00:00,2025-09-25 03:45:00,Scheduled
3,G8988,581,603,2025-10-26 03:00:00,2025-10-26 13:00:00,Delayed
4,SQ723,353,899,2025-07-30 08:45:00,2025-07-30 20:30:00,Delayed
5,QP807,177,283,2025-07-26 04:45:00,2025-07-26 06:30:00,Scheduled
6,G8418,764,487,2026-04-17 08:30:00,2026-04-17 10:00:00,Scheduled
7,SG407,504,879,2025-12-23 21:00:00,2025-12-24 11:15:00,Cancelled
8,SQ761,454,793,2026-02-27 10:30:00,2026-02-27 23:15:00,Scheduled
9,AI627,453,217,2026-04-13 13:45:00,2026-04-14 03:15:00,Completed
10,SG297,68,319,2025-12-30 16:45:00,2025-12-30 19:45:00,Completed
11,QP821,206,858,2025-01-30 07:00:00,2025-01-30 15:00:00,Scheduled
12,AI347,378,844,2025-08-26 16:45:00,2025-08-27 03:45:00,Scheduled
13,G8866,609,457,2025-04-01 15:30:00,2025-04-01 21:45:00,Completed
14,UK762,93,292,2025-01-15 12:00:00,2025-01-15 15:15:00,Scheduled
15,BA235,212,276,2025-11-30 13:00:00,2025-12-01 03:00:00,Completed
16,G8533,616,821,2025-01-05 07:30:00,2025-01-05 18:00:00,Completed
17,LH944,873,358,2025-08-24 08:15:00,2025-08-24 16:45:00,Completed
18,G8800,599,105,2025-01-04 16:30:00,2025-01-05 02:00:00,Scheduled
19,G8771,66,345,2025-05-22 20:30:00,2025-05-23 11:00:00,Completed
20,AI924,914,668,2025-06-02 06:15:00,2025-06-02 15:30:00,Completed
21,AI771,830,615,2025-07-26 21:30:00,2025-07-27 08:45:00,Delayed
22,SQ825,303,266,2026-04-10 13:45:00,2026-04-10 20:45:00,Cancelled
23,QP619,836,195,2025-06-25 23:15:00,2025-06-26 11:00:00,Scheduled
24,BA231,175,861,2025-12-03 17:15:00,2025-12-03 22:15:00,Completed
25,UK463,743,828,2025-10-14 05:30:00,2025-10-14 16:30:00,Scheduled
26,BA971,893,315,2025-08-04 10:30:00,2025-08-04 16:00:00,Scheduled
27,LH222,55,888,2025-11-21 18:00:00,2025-11-22 02:15:00,Completed
28,SG305,391,543,2025-06-02 13:00:00,2025-06-03 03:15:00,Scheduled
29,6E599,584,915,2026-04-10 14:15:00,2026-04-10 20:30:00,Scheduled
30,UK879,182,321,2025-11-21 01:00:00,2025-11-21 09:30:00,Completed
31,EK513,591,783,2025-03-23 15:00:00,2025-03-23 18:45:00,Scheduled
32,AI429,489,393,2025-01-03 01:15:00,2025-01-03 13:45:00,Completed
33,UK810,544,196,2025-01-10 21:00:00,2025-01-11 08:15:00,Completed
34,AI405,320,133,2025-02-22 12:30:00,2025-02-22 15:30:00,Cancelled
35,QP601,467,746,2025-09-24 19:30:00,2025-09-25 02:45:00,Scheduled
36,SG316,193,169,2026-05-01 12:00:00,2026-05-01 16:15:00,Completed
37,EK997,604,517,2025-03-28 03:30:00,2025-03-28 15:30:00,Completed
38,AI149,790,548,2025-11-16 01:00:00,2025-11-16 12:00:00,Completed
39,UK811,427,455,2025-07-14 03:30:00,2025-07-14 11:45:00,Completed
40,SQ720,10,309,2025-08-04 21:00:00,2025-08-05 08:30:00,Completed
41,6E609,429,851,2026-04-06 03:00:00,2026-04-06 08:00:00,Scheduled
42,G8264,205,797,2025-05-15 16:15:00,2025-05-15 23:00:00,Scheduled
43,AI113,509,933,2025-04-17 22:45:00,2025-04-18 05:00:00,Completed
44,LH176,929,114,2026-03-04 18:45:00,2026-03-04 21:45:00,Completed
45,G8575,104,927,2025-05-12 20:15:00,2025-05-13 04:45:00,Scheduled
46,EK856,833,179,2026-03-24 01:30:00,2026-03-24 08:00:00,Scheduled
47,SG436,872,777,2026-04-01 01:00:00,2026-04-01 15:15:00,Scheduled
48,SG216,449,979,2025-11-15 08:00:00,2025-11-15 14:30:00,Scheduled
49,SG215,986,468,2025-05-20 12:45:00,2025-05-21 02:30:00,Scheduled
50,SQ794,744,61,2026-04-28 05:00:00,2026-04-28 12:45:00,Scheduled
51,BA599,626,389,2026-02-03 11:00:00,2026-02-04 01:15:00,Scheduled
52,AI821,422,452,2025-01-24 02:30:00,2025-01-24 14:00:00,Completed
53,LH635,538,786,2026-01-16 18:15:00,2026-01-17 05:45:00,Completed
54,EK252,634,98,2025-08-10 21:15:00,2025-08-11 05:45:00,Completed
55,LH969,572,914,2025-11-10 01:00:00,2025-11-10 12:15:00,Delayed
56,QP384,508,891,2025-03-26 02:45:00,2025-03-26 09:00:00,Scheduled
57,6E570,229,564,2025-11-26 12:45:00,2025-11-27 03:00:00,Scheduled
58,BA863,587,459,2025-02-15 15:45:00,2025-02-15 21:45:00,Completed
59,SQ733,106,414,2025-07-31 01:00:00,2025-07-31 15:00:00,Completed
60,AI936,912,521,2025-10-15 06:45:00,2025-10-15 13:15:00,Scheduled
61,BA216,466,340,2025-10-14 19:45:00,2025-10-15 08:15:00,Scheduled
62,LH634,675,228,2025-01-02 10:30:00,2025-01-03 01:00:00,Scheduled
63,6E360,109,47,2026-04-05 05:45:00,2026-04-05 09:30:00,Completed
64,QP210,193,124,2026-04-22 12:15:00,2026-04-22 20:30:00,Completed
65,BA774,48,949,2025-11-21 21:00:00,2025-11-22 10:45:00,Delayed
66,LH543,517,138,2026-05-09 15:00:00,2026-05-10 00:00:00,Completed
67,6E496,495,947,2025-09-18 05:15:00,2025-09-18 17:30:00,Completed
68,G8507,621,904,2025-06-14 16:45:00,2025-06-15 00:00:00,Cancelled
69,LH981,994,302,2025-08-20 04:15:00,2025-08-20 11:45:00,Scheduled
70,SQ831,755,958,2025-10-11 20:15:00,2025-10-12 00:30:00,Scheduled
71,6E879,354,944,2025-12-11 04:15:00,2025-12-11 13:45:00,Scheduled
72,EK927,492,597,2025-10-20 21:45:00,2025-10-21 09:15:00,Scheduled
73,UK373,110,26,2025-07-15 04:00:00,2025-07-15 15:00:00,Completed
74,G8308,165,294,2025-12-16 08:15:00,2025-12-16 22:15:00,Completed
75,LH498,34,368,2026-02-21 14:00:00,2026-02-22 00:15:00,Scheduled
76,EK496,804,816,2026-02-13 22:30:00,2026-02-14 10:30:00,Scheduled
77,UK735,808,1000,2025-12-17 10:00:00,2025-12-17 11:30:00,Completed
78,UK401,882,892,2025-08-15 07:30:00,2025-08-15 20:45:00,Scheduled
79,EK385,700,77,2025-04-06 05:00:00,2025-04-06 12:00:00,Delayed
80,SG140,134,165,2025-10-27 08:00:00,2025-10-27 14:45:00,Scheduled
81,6E902,331,612,2025-01-27 20:30:00,2025-01-28 05:00:00,Completed
82,EK656,539,226,2026-05-05 05:00:00,2026-05-05 18:15:00,Delayed
83,G8323,95,358,2025-04-24 06:30:00,2025-04-24 13:00:00,Cancelled
84,BA346,634,544,2025-09-01 17:00:00,2025-09-01 19:30:00,Cancelled
85,EK915,629,941,2025-11-15 07:00:00,2025-11-15 18:30:00,Cancelled
86,LH922,396,263,2025-10-04 23:30:00,2025-10-05 01:00:00,Delayed
87,6E271,499,45,2025-06-01 20:15:00,2025-06-02 02:15:00,Cancelled
88,EK955,792,551,2025-10-01 00:00:00,2025-10-01 04:15:00,Scheduled
89,SG124,551,849,2025-12-26 23:45:00,2025-12-27 10:45:00,Delayed
90,LH172,340,39,2025-02-14 02:00:00,2025-02-14 05:30:00,Delayed
91,EK423,234,933,2025-05-13 13:45:00,2025-05-13 22:30:00,Scheduled
92,6E466,690,122,2025-10-01 00:00:00,2025-10-01 13:00:00,Cancelled
93,G8883,109,297,2026-02-07 21:30:00,2026-02-08 07:30:00,Cancelled
94,LH325,391,405,2026-02-25 21:00:00,2026-02-26 05:15:00,Scheduled
95,G8793,401,816,2026-02-13 17:30:00,2026-02-14 04:45:00,Completed
96,6E142,989,815,2026-03-20 23:30:00,2026-03-21 00:45:00,Scheduled
97,QP316,611,404,2025-10-03 17:00:00,2025-10-03 22:15:00,Scheduled
98,SQ954,662,872,2025-09-20 04:15:00,2025-09-20 07:30:00,Scheduled
99,LH174,118,186,2025-12-10 18:00:00,2025-12-11 08:45:00,Scheduled
100,SG787,69,257,2025-02-20 06:45:00,2025-02-20 13:15:00,Completed
101,BA436,103,292,2025-11-14 02:15:00,2025-11-14 09:00:00,Completed
102,EK272,314,711,2025-10-27 04:30:00,2025-10-27 18:00:00,Scheduled
103,SG795,253,805,2025-04-24 22:45:00,2025-04-25 04:15:00,Completed
104,BA664,899,492,2025-08-25 14:30:00,2025-08-26 04:00:00,Scheduled
105,G8851,662,622,2025-02-11 08:15:00,2025-02-11 17:30:00,Completed
106,SQ317,79,745,2025-02-08 00:00:00,2025-02-08 14:45:00,Cancelled
107,QP501,565,267,2025-10-06 17:45:00,2025-10-07 05:00:00,Scheduled
108,EK472,791,604,2026-01-11 09:15:00,2026-01-11 17:15:00,Delayed
109,BA263,679,245,2026-03-11 19:15:00,2026-03-12 08:30:00,Scheduled
110,UK879,972,580,2025-12-04 04:45:00,2025-12-04 10:45:00,Delayed
111,LH910,65,271,2025-07-09 07:00:00,2025-07-09 18:15:00,Scheduled
112,6E820,481,940,2025-08-21 01:00:00,2025-08-21 12:30:00,Cancelled
113,EK769,649,850,2025-05-21 23:30:00,2025-05-22 09:45:00,Scheduled
114,LH515,602,670,2026-04-05 02:30:00,2026-04-05 09:45:00,Scheduled
115,BA269,889,354,2025-09-07 15:00:00,2025-09-08 00:15:00,Scheduled
116,QP716,527,659,2025-05-24 06:15:00,2025-05-24 09:30:00,Completed
117,BA791,122,677,2025-04-28 13:30:00,2025-04-29 01:30:00,Delayed
118,AI230,216,605,2025-03-24 20:45:00,2025-03-24 22:00:00,Delayed
119,AI270,165,138,2025-11-19 16:00:00,2025-11-20 02:15:00,Scheduled
120,6E321,185,530,2026-05-06 12:00:00,2026-05-07 00:30:00,Scheduled
121,SQ246,483,889,2025-09-04 05:15:00,2025-09-04 20:00:00,Completed
122,BA710,841,786,2025-04-04 19:30:00,2025-04-04 23:00:00,Delayed
123,LH980,236,388,2025-07-17 04:00:00,2025-07-17 05:15:00,Cancelled
124,SQ714,701,430,2026-02-28 04:00:00,2026-02-28 07:45:00,Scheduled
125,SQ652,803,545,2025-09-15 03:00:00,2025-09-15 11:15:00,Completed
126,QP995,919,961,2026-02-01 21:45:00,2026-02-02 07:30:00,Scheduled
127,EK237,543,440,2025-04-28 15:45:00,2025-04-28 21:45:00,Scheduled
128,G8293,785,239,2026-04-11 02:30:00,2026-04-11 13:15:00,Scheduled
129,EK770,762,809,2025-01-04 18:00:00,2025-01-05 03:00:00,Scheduled
130,SQ359,824,324,2025-07-29 11:00:00,2025-07-29 14:45:00,Scheduled
131,UK523,549,434,2025-10-17 11:30:00,2025-10-17 23:15:00,Delayed
132,SQ452,571,495,2025-04-02 11:45:00,2025-04-02 17:15:00,Completed
133,BA901,408,754,2025-03-12 21:00:00,2025-03-13 09:15:00,Completed
134,LH728,166,103,2025-04-20 16:45:00,2025-04-21 06:15:00,Completed
135,SG582,724,54,2025-03-24 12:00:00,2025-03-25 01:00:00,Cancelled
136,SQ138,446,91,2025-02-02 08:15:00,2025-02-02 14:15:00,Completed
137,SG755,954,411,2025-11-11 20:30:00,2025-11-12 08:30:00,Delayed
138,SQ622,11,207,2026-03-12 21:30:00,2026-03-13 01:30:00,Delayed
139,AI261,238,630,2025-03-28 21:00:00,2025-03-29 03:15:00,Scheduled
140,LH115,283,799,2025-07-24 11:45:00,2025-07-24 19:00:00,Completed
141,QP935,71,942,2025-02-16 17:30:00,2025-02-17 06:00:00,Scheduled
142,G8279,621,987,2025-04-10 14:45:00,2025-04-11 00:45:00,Scheduled
143,LH363,110,573,2025-02-07 16:30:00,2025-02-07 22:30:00,Completed
144,UK875,833,813,2025-10-22 08:45:00,2025-10-22 16:30:00,Scheduled
145,G8169,795,470,2025-12-15 14:00:00,2025-12-15 22:00:00,Scheduled
146,EK461,808,226,2025-12-13 22:15:00,2025-12-14 11:45:00,Delayed
147,EK789,10,718,2026-03-03 08:15:00,2026-03-03 13:15:00,Completed
148,UK687,351,78,2025-10-11 05:45:00,2025-10-11 12:15:00,Scheduled
149,UK853,970,765,2025-12-16 06:45:00,2025-12-16 19:00:00,Scheduled
150,SG897,272,212,2025-04-28 06:15:00,2025-04-28 20:45:00,Scheduled
151,LH143,943,81,2025-12-13 21:45:00,2025-12-14 07:45:00,Completed
152,LH386,381,636,2025-06-11 15:30:00,2025-06-11 23:45:00,Scheduled
153,LH455,769,591,2025-03-07 01:45:00,2025-03-07 09:45:00,Scheduled
154,QP805,703,795,2025-03-31 14:00:00,2025-04-01 02:45:00,Scheduled
155,SQ982,691,216,2025-07-14 18:00:00,2025-07-15 00:30:00,Scheduled
156,QP288,562,270,2025-05-02 08:45:00,2025-05-02 19:15:00,Delayed
157,G8561,216,430,2025-12-25 11:30:00,2025-12-26 02:15:00,Scheduled
158,UK668,135,590,2025-12-18 07:00:00,2025-12-18 19:30:00,Scheduled
159,SG531,391,201,2025-03-16 23:15:00,2025-03-17 07:15:00,Delayed
160,G8356,915,870,2025-11-19 16:30:00,2025-11-20 06:15:00,Delayed
161,G8587,582,49,2025-07-23 03:15:00,2025-07-23 04:30:00,Completed
162,LH670,99,461,2026-01-17 10:30:00,2026-01-17 17:00:00,Cancelled
163,SQ689,264,353,2025-01-11 13:00:00,2025-01-11 19:15:00,Completed
164,BA180,552,179,2026-02-04 09:30:00,2026-02-04 16:15:00,Scheduled
165,EK746,294,475,2025-11-20 04:15:00,2025-11-20 15:45:00,Completed
166,UK421,415,870,2026-04-10 02:00:00,2026-04-10 05:30:00,Scheduled
167,QP865,299,728,2025-05-17 19:45:00,2025-05-18 01:30:00,Delayed
168,SG845,989,462,2025-07-31 05:15:00,2025-07-31 19:15:00,Scheduled
169,EK205,258,964,2026-01-16 22:00:00,2026-01-17 02:15:00,Scheduled
170,LH883,960,900,2025-08-31 17:00:00,2025-08-31 18:45:00,Cancelled
171,G8334,107,269,2025-11-13 04:00:00,2025-11-13 15:45:00,Scheduled
172,AI135,291,454,2025-11-17 04:15:00,2025-11-17 13:30:00,Completed
173,LH555,882,938,2025-06-16 15:45:00,2025-06-17 06:15:00,Scheduled
174,LH755,972,715,2025-10-04 05:45:00,2025-10-04 17:30:00,Completed
175,BA415,318,931,2025-06-27 15:15:00,2025-06-28 04:15:00,Scheduled
176,QP393,267,160,2025-06-05 00:00:00,2025-06-05 09:15:00,Delayed
177,EK917,9,705,2026-04-18 15:45:00,2026-04-18 20:45:00,Scheduled
178,LH547,237,816,2025-01-04 17:30:00,2025-01-04 22:15:00,Scheduled
179,UK369,168,733,2026-01-13 20:45:00,2026-01-14 11:30:00,Scheduled
180,EK292,641,246,2025-09-22 19:30:00,2025-09-23 01:00:00,Completed
181,G8817,187,140,2025-05-29 03:45:00,2025-05-29 14:30:00,Completed
182,SG204,193,329,2025-01-10 04:00:00,2025-01-10 13:00:00,Scheduled
183,SG115,129,733,2025-08-13 23:00:00,2025-08-14 03:00:00,Delayed
184,QP182,351,431,2025-06-09 15:30:00,2025-06-09 23:30:00,Completed
185,SG296,975,150,2025-01-29 08:45:00,2025-01-29 11:30:00,Completed
186,EK889,257,837,2025-07-15 00:00:00,2025-07-15 13:15:00,Cancelled
187,LH781,254,756,2025-01-18 06:45:00,2025-01-18 18:45:00,Cancelled
188,LH633,485,399,2025-12-15 09:30:00,2025-12-15 12:30:00,Scheduled
189,6E341,493,654,2025-06-02 06:30:00,2025-06-02 07:45:00,Completed
190,AI143,333,16,2025-03-27 08:00:00,2025-03-27 15:15:00,Delayed
191,UK261,708,487,2025-12-19 19:15:00,2025-12-20 01:15:00,Delayed
192,SG818,703,634,2025-06-23 20:00:00,2025-06-23 21:30:00,Delayed
193,BA850,110,129,2025-09-07 07:30:00,2025-09-07 17:00:00,Scheduled
194,BA823,706,387,2025-07-03 23:15:00,2025-07-04 04:15:00,Scheduled
195,LH456,302,556,2025-12-23 15:15:00,2025-12-24 01:30:00,Scheduled
196,BA402,480,282,2026-03-21 19:15:00,2026-03-21 21:30:00,Completed
197,AI734,555,376,2025-08-21 00:45:00,2025-08-21 13:00:00,Completed
198,UK636,795,636,2025-05-03 10:00:00,2025-05-03 21:45:00,Completed
199,QP213,785,565,2025-03-20 19:30:00,2025-03-21 02:15:00,Scheduled
200,UK209,675,69,2025-01-23 04:15:00,2025-01-23 18:15:00,Delayed
201,LH738,102,33,2025-10-20 20:45:00,2025-10-21 08:30:00,Completed
202,BA952,263,51,2025-07-07 07:00:00,2025-07-07 08:15:00,Scheduled
