payment_id,booking_id,amount,payment_date,payment_status,payment_method
1,1,5479.3,2024-12-15 21:00:00,Completed,Net Banking
2,2,5333.03,2025-09-13 00:10:00,Refunded,Credit Card
3,3,8646.49,2025-12-13 11:46:00,Pending,Credit Card
4,4,14452.5,2025-11-01 02:17:00,Pending,Net Banking
5,5,17917.69,2025-06-08 06:59:00,Completed,Credit Card
6,6,4763.24,2025-11-30 16:16:00,Refunded,Wallet
7,7,30391.39,2026-01-23 21:55:00,Completed,Wallet
8,8,5325.01,2025-05-24 02:30:00,Completed,Net Banking
9,9,19061.32,2024-11-25 22:13:00,Failed,UPI
10,10,5277.63,2025-01-31 10:18:00,Refunded,Net Banking
11,11,4368.38,2024-11-30 22:02:00,Pending,Credit Card
12,12,17987.62,2025-10-09 10:52:00,Completed,Wallet
13,13,5394.18,2026-01-02 16:05:00,Completed,UPI
14,14,5193.54,2025-08-05 21:49:00,Pending,Net Banking
15,15,4086.19,2026-02-14 11:34:00,Completed,Credit Card
16,16,14045.72,2025-08-06 03:08:00,Refunded,Credit Card
17,17,4351.26,2025-06-17 02:33:00,Failed,Debit Card
18,18,5367.17,2024-12-01 00:40:00,Refunded,Wallet
19,19,5827.76,2025-01-14 11:01:00,Completed,UPI
20,20,5709.92,2025-11-05 00:54:00,Completed,Credit Card
21,21,4794.68,2025-12-27 15:24:00,Completed,Net Banking
22,22,5253.74,2025-08-31 08:50:00,Completed,UPI
23,23,8781.06,2025-01-05 10:57:00,Completed,Wallet
24,24,5477.01,2025-05-06 08:05:00,Completed,Net Banking
25,25,4134.59,2026-03-15 18:12:00,Refunded,Net Banking
26,26,4782.86,2025-08-04 13:54:00,Pending,UPI
27,27,4120.88,2025-11-11 22:58:00,Completed,Net Banking
28,28,4056.16,2025-04-04 17:35:00,Completed,Debit Card
29,29,9939.15,2025-04-02 07:48:00,Completed,UPI
30,30,5804.11,2025-11-19 06:42:00,Completed,Net Banking
31,31,5323.1,2025-11-17 08:22:00,Completed,UPI
32,32,15972.71,2025-08-17 03:04:00,Completed,Net Banking
33,33,5532.4,2025-05-21 22:45:00,Completed,Wallet
34,34,27353.08,2026-02-12 19:56:00,Pending,Wallet
35,35,4476.5,2025-10-12 15:59:00,Completed,UPI
36,36,5728.83,2025-05-24 00:55:00,Refunded,UPI
37,37,15462.42,2026-01-15 02:00:00,Completed,Debit Card
38,38,5051.38,2025-12-30 08:57:00,Pending,Net Banking
39,39,9158.42,2025-06-14 00:03:00,Completed,Debit Card
40,40,5331.0,2025-01-22 20:36:00,Refunded,UPI
41,41,16908.47,2026-04-07 09:50:00,Completed,Net Banking
42,42,9592.33,2024-12-24 18:39:00,Completed,Net Banking
43,43,4365.42,2026-03-11 06:27:00,Pending,Debit Card
44,44,5617.41,2025-10-10 10:25:00,Completed,Net Banking
45,45,5212.43,2026-03-08 23:45:00,Completed,UPI
46,46,5411.82,2025-06-04 10:08:00,Completed,Credit Card
47,47,4118.92,2025-06-28 19:37:00,Completed,UPI
48,48,4254.05,2025-01-16 20:19:00,Failed,Debit Card
49,49,5805.16,2026-01-08 00:30:00,Completed,Credit Card
50,50,5106.84,2024-11-27 10:18:00,Failed,Debit Card
51,51,16170.64,2025-01-23 02:51:00,Completed,Debit Card
52,52,4842.19,2026-04-02 01:02:00,Refunded,Debit Card
53,53,9802.62,2025-08-12 10:36:00,Failed,Debit Card
54,54,4307.19,2025-03-18 16:09:00,Completed,Net Banking
55,55,5039.69,2026-01-19 16:56:00,Failed,Net Banking
56,56,5797.34,2025-02-27 07:26:00,Completed,Net Banking
57,57,4908.55,2026-02-17 00:04:00,Refunded,UPI
58,58,5440.87,2025-03-16 20:05:00,Completed,Credit Card
59,59,5403.68,2026-04-25 18:51:00,Pending,Credit Card
60,60,4743.43,2024-12-01 09:57:00,Refunded,Debit Card
61,61,5716.95,2025-12-24 10:52:00,Completed,Credit Card
62,62,4411.09,2025-11-12 16:13:00,Completed,UPI
63,63,5499.4,2025-03-31 19:58:00,Failed,Wallet
64,64,4602.42,2025-07-18 07:59:00,Failed,Credit Card
65,65,10769.39,2025-12-08 04:17:00,Completed,Wallet
66,66,10904.48,2025-08-20 15:18:00,Completed,Credit Card
67,67,5239.26,2025-03-14 09:47:00,Completed,Wallet
68,68,5334.85,2026-03-04 15:38:00,Completed,Net Banking
69,69,8235.0,2025-01-28 22:48:00,Completed,Net Banking
70,70,8743.65,2025-08-03 22:58:00,Completed,Debit Card
71,71,4250.65,2025-05-08 07:42:00,Completed,Credit Card
72,72,19295.42,2025-04-06 08:09:00,Failed,Net Banking
73,73,5396.42,2024-12-29 21:12:00,Completed,Credit Card
74,74,5361.77,2025-11-19 16:44:00,Refunded,UPI
75,75,34396.07,2025-09-04 21:14:00,Completed,Debit Card
76,76,4377.01,2026-04-11 01:18:00,Completed,Net Banking
77,77,4686.84,2025-03-07 16:13:00,Failed,Debit Card
78,78,5575.08,2025-05-09 09:38:00,Completed,Net Banking
79,79,5827.99,2024-12-28 13:26:00,Pending,Credit Card
80,80,4816.64,2025-03-01 03:59:00,Refunded,Debit Card
81,81,4252.2,2025-07-12 12:08:00,Completed,Debit Card
82,82,4614.58,2025-11-17 05:24:00,Completed,UPI
83,83,27286.78,2026-04-02 04:01:00,Refunded,Net Banking
84,84,5089.48,2025-12-15 12:00:00,Pending,Net Banking
85,85,4645.62,2026-01-20 17:46:00,Refunded,Wallet
86,86,4673.23,2024-12-05 21:20:00,Completed,Net Banking
87,87,4382.27,2025-01-18 11:07:00,Refunded,Wallet
88,88,8568.96,2025-09-12 20:23:00,Completed,Net Banking
89,89,5335.26,2025-02-02 13:57:00,Failed,Debit Card
90,90,4992.01,2025-12-05 16:49:00,Completed,UPI
91,91,7689.4,2025-08-22 11:52:00,Pending,UPI
92,92,19166.32,2025-07-19 21:03:00,Refunded,Credit Card
93,93,4816.61,2025-06-19 08:42:00,Completed,Wallet
94,94,18610.1,2024-12-28 00:00:00,Refunded,Debit Card
95,95,14016.57,2025-02-11 15:51:00,Failed,UPI
96,96,10982.61,2025-11-15 02:48:00,Completed,UPI
97,97,5147.47,2026-01-05 08:38:00,Refunded,Credit Card
98,98,18261.88,2025-05-04 20:28:00,Completed,Net Banking
99,99,4598.53,2025-12-04 23:04:00,Failed,UPI
100,100,5670.58,2024-11-14 18:23:00,Refunded,Net Banking
101,101,5027.97,2025-06-17 15:30:00,Completed,Debit Card
102,102,4075.58,2026-04-06 10:38:00,Pending,Credit Card
103,103,5289.69,2025-09-06 06:31:00,Completed,Debit Card
104,104,9642.16,2026-02-14 07:41:00,Refunded,Debit Card
105,105,4316.91,2026-02-18 09:33:00,Completed,Net Banking
106,106,5338.43,2025-02-22 05:08:00,Completed,Wallet
107,107,5321.36,2025-10-19 15:20:00,Refunded,Net Banking
108,108,5526.05,2025-10-23 22:59:00,Pending,Net Banking
109,109,33403.43,2025-12-11 02:43:00,Refunded,Net Banking
110,110,4783.78,2025-01-18 11:54:00,Completed,Debit Card
111,111,9436.95,2025-06-18 01:03:00,Completed,UPI
112,112,5205.01,2026-02-18 16:54:00,Pending,Net Banking
113,113,4589.74,2026-03-30 19:53:00,Pending,Debit Card
114,114,5259.25,2026-02-11 14:08:00,Failed,Debit Card
115,115,4071.08,2025-03-27 02:31:00,Completed,Credit Card
116,116,5215.01,2025-03-02 10:11:00,Failed,UPI
117,117,18356.55,2026-01-17 22:18:00,Completed,Credit Card
118,118,5446.1,2026-02-07 15:10:00,Completed,Wallet
119,119,4843.69,2025-02-15 12:39:00,Completed,Credit Card
