seat_id,flight_id,seat_number,seat_class,seat_price,seat_status
1,46,1A,Economy,5559.57,Available
2,298,1A,Economy,4190.76,Booked
3,953,1A,Economy,4435.02,Booked
4,154,1A,Economy,5190.79,Booked
5,934,1A,Economy,4307.19,Booked
6,606,1A,Economy,4844.96,Booked
7,27,1A,Premium Economy,8501.83,Booked
8,109,1A,Economy,5669.57,Booked
9,624,1A,Premium Economy,8255.24,Booked
10,217,1A,Business,18632.23,Booked
11,828,1A,Premium Economy,8826.37,Booked
12,321,1A,Economy,5160.55,Booked
13,524,1A,Business,19023.64,Booked
14,733,1A,Economy,4723.57,Available
15,800,1A,Business,19472.63,Available
16,760,1A,Economy,4699.78,Booked
17,521,1A,Economy,5105.14,Booked
18,803,1A,Economy,5689.87,Booked
19,596,1A,Business,16516.76,Booked
20,730,1A,Economy,4541.45,Booked
21,353,1A,Economy,5205.01,Booked
22,963,1A,Economy,5842.33,Booked
23,221,1A,Premium Economy,8582.19,Available
24,388,1A,Economy,5079.93,Booked
25,851,1A,Economy,5342.45,Booked
26,597,1A,Economy,5143.58,Booked
27,34,1A,Economy,4362.79,Booked
28,673,1A,Premium Economy,9851.66,Booked
29,744,1A,Economy,4237.0,Available
30,154,1B,Economy,5153.26,Booked
31,391,1A,Premium Economy,10049.17,Booked
32,781,1A,Economy,5581.7,Booked
33,665,1A,Economy,5551.32,Booked
34,81,1A,Economy,4848.08,Booked
35,979,1A,Premium Economy,8718.4,Booked
36,80,1A,Business,15164.87,Available
37,982,1A,Business,17430.63,Booked
38,958,1A,Premium Economy,8781.06,Booked
39,230,1A,Premium Economy,10708.87,Booked
40,579,1A,Business,14515.28,Booked
41,516,1A,First,33287.92,Booked
42,589,1A,Economy,4075.51,Booked
43,646,1A,Premium Economy,9065.69,Booked
44,562,1A,Premium Economy,7859.04,Booked
45,752,1A,Economy,5420.33,Booked
46,429,1A,Economy,4529.94,Booked
47,552,1A,Economy,4130.12,Booked
48,751,1A,Economy,5289.69,Booked
49,125,1A,Economy,5193.54,Booked
50,868,1A,Business,19146.54,Available
51,900,1A,Economy,5059.01,Booked
52,541,1A,Economy,4889.25,Booked
53,818,1A,Business,14016.57,Booked
54,53,1A,Business,14028.97,Available
55,622,1A,Business,14595.01,Booked
56,484,1A,Economy,4621.5,Booked
57,676,1A,Economy,4086.19,Booked
58,538,1A,Economy,4068.79,Available
59,533,1A,Economy,4878.63,Booked
60,452,1A,Business,19159.42,Booked
61,325,1A,Economy,5275.6,Booked
62,276,1A,Business,18687.52,Booked
63,200,1A,Premium Economy,10159.58,Booked
64,857,1A,Economy,4732.76,Available
65,590,1A,Economy,4552.13,Booked
66,301,1A,Economy,4795.17,Available
67,933,1A,Business,15136.8,Available
68,250,1A,Economy,5812.7,Booked
69,337,1A,Economy,4841.28,Available
70,249,1A,Economy,4689.28,Booked
71,819,1A,Economy,5440.27,Available
72,787,1A,Economy,5543.1,Booked
73,371,1A,Premium Economy,8229.61,Available
74,237,1A,Business,17011.34,Booked
75,467,1A,Economy,5073.68,Booked
76,323,1A,First,30059.16,Booked
77,767,1A,Economy,5277.63,Available
78,996,1A,Economy,4665.93,Booked
79,119,1A,First,31378.05,Available
